order_sk,order_id,user_id,final_total_amount,finish_time,finish_time_hour
5308,"2305014031536096089	",205123,2.29,2020-05-09,3
5529,"2305189999491940987	",205123,4.61,2020-05-09,7
5309,"2305015764396016593	",204626,277.75,2020-05-09,18
5310,"2305016106223404014	",205120,115.72,2020-05-09,7
5311,"2305016951107223587	",200932,31.23,2020-05-09,20
9712,"2310339157198635172	",200932,78.68,2020-05-16,10
5312,"2305018668154618004	",200406,173.59,2020-05-09,19
5315,"2305022157865877900	",205130,104.14,2020-05-09,18
5318,"2305027560548860675	",205130,6.23,2020-05-09,12
5319,"2305027560548860675	",205130,3.22,2020-05-09,21
5316,"2305023823952478737	",204916,64.79,2020-05-09,21
5317,"2305027360186958582	",205129,196.74,2020-05-09,21
5320,"2305027774055711502	",205128,20.81,2020-05-09,20
5321,"2305028601617056584	",205126,138.63,2020-05-09,1
5322,"2305028823025976155	",205132,27.75,2020-05-09,16
5323,"2305028823025976155	",205132,27.75,2020-05-09,24
5324,"2305031152710189057	",201032,14.1,2020-05-09,21
5325,"2305031392968310804	",205056,324.05,2020-05-09,22
5327,"2305037954403271177	",202305,150.44,2020-05-09,8
5328,"2305038369043776045	",205103,231.46,2020-05-09,6
5329,"2305038797038944840	",202203,266.18,2020-05-09,1
5330,"2305038844535243339	",205135,33.56,2020-05-09,23
5333,"2305042165425767250	",205135,124.98,2020-05-09,9
5331,"2305040414236738257	",205121,14.1,2020-05-09,22
5332,"2305040817049305840	",204455,608.77,2020-05-09,21
5334,"2305042238121444187	",204892,104.14,2020-05-09,24
5335,"2305042490526270317	",205139,25.44,2020-05-09,18
5336,"2305042590946296689	",200980,18.5,2020-05-09,21
5352,"2305063705626280410	",200980,69.42,2020-05-09,1
5337,"2305042943360107404	",205140,231.23,2020-05-09,5
5362,"2305069915930887081	",205140,1659.7,2020-05-09,12
5914,"2305803645788095353	",205140,254.61,2020-05-10,8
5338,"2305045722665320576	",205138,314.79,2020-05-09,13
5339,"2305046688504479945	",205074,462.71,2020-05-09,16
5340,"2305047434427891964	",205142,5.76,2020-05-09,4
5348,"2305060960588529930	",205142,102.99,2020-05-09,2
5341,"2305048394051092798	",201692,416.41,2020-05-09,9
5342,"2305049180315320712	",205134,19.65,2020-05-09,5
5344,"2305056377095062470	",205087,43.96,2020-05-09,18
5345,"2305056760060183519	",200916,34.7,2020-05-09,3
8781,"2308804982633136902	",200916,69.19,2020-05-14,19
5346,"2305057891297525821	",205149,1215.25,2020-05-09,16
5347,"2305059367507984538	",205152,92.34,2020-05-09,21
5349,"2305063106285404579	",205152,46.27,2020-05-09,14
5445,"2305131158280601999	",205152,124.98,2020-05-09,8
5350,"2305063203660366252	",200703,69.42,2020-05-09,9
5351,"2305063388016804290	",201127,60.16,2020-05-09,3
5353,"2305063712613990875	",205153,856.23,2020-05-09,19
5356,"2305065535986991691	",205153,418.96,2020-05-09,13
5354,"2305064786632639006	",205147,215.25,2020-05-09,11
5355,"2305065127059128881	",205148,24.05,2020-05-09,20
5357,"2305065536674857548	",205143,23.13,2020-05-09,12
5358,"2305065753411322459	",205155,55.53,2020-05-09,22
5359,"2305066010304053870	",205154,138.63,2020-05-09,23
5472,"2305152622841037124	",205154,15.02,2020-05-09,15
5361,"2305066605400294046	",204638,611.09,2020-05-09,11
5363,"2305071100259729418	",205145,509.24,2020-05-09,11
5369,"2305074989746880825	",205145,231.23,2020-05-09,6
5644,"2305300519637222370	",205145,439.79,2020-05-09,12
5364,"2305072610175615116	",200015,381.92,2020-05-09,16
8331,"2308242249063859081	",200015,509.24,2020-05-13,7
5366,"2305074259392725252	",205158,85.63,2020-05-09,23
5367,"2305074755058794793	",205157,370.35,2020-05-09,19
5368,"2305074772465156395	",205144,810.16,2020-05-09,12
5396,"2305091660779881316	",205144,2.29,2020-05-09,3
5370,"2305075093430075720	",201079,50.9,2020-05-09,21
5371,"2305075403095540068	",201142,90.25,2020-05-09,14
5372,"2305076471770644945	",202065,16.18,2020-05-09,23
5373,"2305078182224593523	",201360,34.7,2020-05-09,23
5374,"2305079394235843290	",205159,115.72,2020-05-09,6
5375,"2305080453717033775	",200954,856.46,2020-05-09,6
5376,"2305080480057262899	",205150,33.54,2020-05-09,20
5377,"2305080717513589577	",204079,178.22,2020-05-09,12
5378,"2305082136832508887	",205162,18.5,2020-05-09,11
5379,"2305082136832508887	",205162,25.44,2020-05-09,17
6367,"2306465414743326748	",205162,18.5,2020-05-11,13
6368,"2306465414743326748	",205162,25.44,2020-05-11,23
5380,"2305082350079312872	",204610,347.2,2020-05-09,23
5385,"2305085498072236304	",204901,92.57,2020-05-09,16
5386,"2305086169437700441	",201145,569.19,2020-05-09,7
5387,"2305086659886055809	",205164,13.87,2020-05-09,4
5388,"2305086806535700881	",200958,381.92,2020-05-09,13
5400,"2305099103136121396	",200958,381.92,2020-05-09,23
5389,"2305087295264391614	",205136,104.14,2020-05-09,6
5390,"2305088596782088759	",202218,85.39,2020-05-09,1
5392,"2305089640534639255	",205165,17.34,2020-05-09,15
5424,"2305117011522355312	",205165,1.62,2020-05-09,18
5393,"2305089865626157742	",201445,27.75,2020-05-09,4
5394,"2305090588497675006	",205119,231.23,2020-05-09,3
